Comorbitities,CVD (depends on drug),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,P,,,1000,,,90,500|1000,,,,,P,P,P,P,,,,,,,,,,,,
,Diabetes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,,
,Hypertension,,P,,,P,,,P,P,,P,,,,,,,,P,,,,,,,P,,,,,,P,,,,,,,,P,P,P,,1000,,,,500|1000,,,,,,,,,P,,,,,,,P,,P,,
Symptoms,Constipation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,12,,,,,,,,,,,P,,,,,,,,,,,
,Cough,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Diarrhea,P,,,,,,,,P,,,,,,,P,P,,,,,,,,,,,,P,P,,,,P,,,,,,,,,,,,10|15,,,,,,,,,,,P,,,,,,,,,,,
,Difficulty chewing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Difficulty to swallow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dry mouth ,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dry skin,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,
,Fatigue,,,P,,,P,,,,,,,,,,,,,P,,,,,,,P,P,,,P,,P,,P,,,,,P,,,,,,,,,,,,,,P,P,P,P,,,,,,,,,P,,,
,Inflammation,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,,,P,,,,,P,,P,,
,Loss of appetite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,
,Loss of or change of taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mouth & throat sore,,,,,,,,,,,,,,,,,,,,,,,,,,,,5|5,,,1|2,,,,,,,,60|120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nausea,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sleeping problems ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stomach Acidity,,,,,,,,,,,,,,,4|8,,,,,,,,,,30|60,,,5|5,,,1|2,,,,,,,,60|120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weight gain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500|500,,,,P,P,P,P,P,,,,,,,,,,,
,Weight loss,,,P,P,,,,,,,,P,P,,,,,,,,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,500,,,P,P,P,P,P,,,,,,,,,,,,
Chemo Drugs,Docetaxel (Taxotere),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Carboplatin (Paraplatin),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Trastuzumab (Herceptin),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,
,Cisplatin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,
,Paclitaxel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,P,,,,,,,,,,,,,,,,,
,Pertuzumab (Perjeta),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medications,Olanzapine (Zyprexa),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prochlorperazine (Compazine),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ondanstetron (Zofran),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ioperamide (Imodium),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10|15,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
