MEAL,Cals (kcal),Prot (g),Fat (g),Carb (g),TotFib (g),Sugar (g),,Course,Quantity,Measure,Wgt (g),,FatCals (kcal),SatCals (kcal),,Carb (g),TotFib (g),TotSolFib (g),,MonSac (g),Disacc (g),OCarb (g),Fat (g),SatFat (g),MonoFat (g),PolyFat (g),TransFat (g),Chol (mg),Water (g),Vit A-IU (IU),Vit A-RAE (mcg),Caroten (mcg),Retinol (mcg),BetaCaro (mcg),Vit B1 (mg),Vit B2 (mg),Vit B3 (mg),Vit B3-NE (mg),Vit B6 (mg),Vit B12 (mcg),Biot (mcg),Vit C (mg),Vit D-IU (IU),Vit D-mcg (mcg),Vit E-a-Toco (mg),Folate (mcg),Fol_DFE (mcg DFE),Vit K (mcg),Panto (mg),Calc (mg),Chrom (mcg),Copp (mg),Fluor (mg),Iodine (mcg),Iron (mg),Magn (mg),Mang (mg),Moly (mcg),Phos (mg),Pot (mg),Sel (mcg),Sod (mg),Zinc (mg),Omega3 (g),Omega6 (g),Alc (g),Caff (mg),Chln (mg)
    brussels sprouts,12.19,0.96,0.09,2.54,1.08,0.62,,,0.0625,Pound,28.35,,0.77,0.16,,2.54,1.08,0.57,,0.49,0.13,0.84,0.09,0.02,0.01,0.04,0,0,24.38,213.76,10.69,21.38,0,127.57,0.04,0.03,0.21,0.39,0.06,0,--,24.1,0,0,0.25,17.29,17.29,50.18,0.09,11.91,--,0.02,--,--,0.4,6.52,0.1,1.42,19.56,110.28,0.45,7.09,0.12,0.03,0.01,0,0,5.41
    brown rice,121.38,2.49,1.06,25.22,1.19,0.22,,,0.072917,Pound,33.07,,9.53,1.76,,25.22,1.19,0.12,,0,0.22,23.81,1.06,0.2,0.35,0.33,0,0,3.9,0,0,0,0,0,0.18,0.03,2.15,2.68,0.16,0,0.34,0,0,0,0.2,7.61,7.61,0.2,0.35,2.98,0.13,0.1,--,--,0.43,38.37,0.94,--,102.86,82.69,5.66,1.65,0.7,0.01,0.32,0,0,7.11
    sea salt,,,,,,,,,0.067,ounce-weight,1.8994165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,736.129,,,,,,
Total,518.99,15.84,20.78,73.38,9.61,7.68,,,1,Serving,238.13,,185.35,22.31,,73.38,9.61,0.78,,2.11,0.53,56.09,20.78,2.48,10.81,5.53,0,0,121.2,8916.39,445.82,891.64,0,3595.03,0.35,0.17,5.61,7.5,0.48,0,0.46,44.02,0,0,1.96,83.55,83.55,59.98,1.15,108.1,0.13,0.37,--,0.06,3.33,133.23,1.66,5.49,297.6,653.93,7.5,763,2.96,0.16,0.48,0,0,24.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butternut Squash Risotto with Spicy Pumpkin Seeds,454.1,15.16,6.72,79.56,10.67,7.54,,Dinner,1,Serving,503.27,,59.72,8.25,,79.56,10.67,0.34,,3.67,0.67,59.31,6.72,0.92,4.16,0.79,0,0,170.62,12290.59,614.53,1229.06,0,4894.28,0.62,0.42,3.27,3.83,0.49,0.66,2.01,27.47,0,0,2.33,57.61,57.61,4.2,0.57,160.92,--,0.13,0.06,0.85,2.88,58.76,0.55,7.89,81.99,578.26,1.42,769,0.52,0.08,0.48,3.15,0,2.62
    Organic vegetable stock,16.7,0.83,0,3.34,0.83,2.5,,,6.68,Fluid ounce,197.55,,0,0,,3.34,0.83,--,,--,--,0,0,0,0,0,0,0,--,0,0,0,0,0,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,--,--,--,0,--,0,0,0,0,--
    white cooking wine,24.7,0.02,0,0.64,0,0.28,,,0.125,Cup,29.4,,0,0,,0.64,0,0,,--,--,0.35,0,0,0,0,0,--,25.53,--,--,--,--,--,0,0,0.03,0.03,0.01,0,--,0,--,--,--,0.29,0.29,--,0.01,2.65,--,0,0.06,--,0.08,2.94,0.03,--,5.29,20.87,0.03,1.47,0.04,0,0,3.15,--,--
    yellow onion,17.01,0.47,0.04,3.97,0.72,1.8,,,1.5,Ounce-weight,42.52,,0.38,0.16,,3.97,0.72,--,,1.38,0.42,1.45,0.04,0.02,0.01,0.01,0,0,37.89,0.85,0.04,0.09,0,0.43,0.02,0.01,0.05,0.15,0.05,0,1.49,3.15,0,0,0.01,8.08,8.08,0.17,0.05,9.78,--,0.02,0,0.85,0.09,4.25,0.05,2.13,12.33,62.09,0.21,1.7,0.07,0,0.01,0,0,2.59
    garlic,14.03,0,0.47,0,0,0,,,0.165,Ounce-weight,4.68,,4.21,--,,0,0,0,,0,0,0,0.47,--,--,--,0,0,3.2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,--
    farro,250.04,10.72,0,53.58,5.36,0,,,2.835,Ounce-weight,80.37,,0,0,,53.58,5.36,--,,0,0,48.22,0,0,0,0,0,0,--,0,0,0,0,0,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,71.44,--,--,--,--,1.29,--,--,--,--,--,--,44.65,--,0,0,0,0,--
    butternut squash,51.86,1.15,0.12,13.47,2.3,2.54,,,4.065,Ounce-weight,115.24,,1.04,0.22,,13.47,2.3,--,,2.28,0.25,8.63,0.12,0.02,0.01,0.05,0,0,99.58,12250.1,612.5,1225.01,0,4870.08,0.12,0.02,1.38,1.65,0.18,0,--,24.2,0,0,1.66,31.12,31.12,1.27,0.46,55.32,--,0.08,--,--,0.81,39.18,0.23,5.76,38.03,405.65,0.58,4.61,0.17,0.03,0.02,0,0,--
    sage,2.19,0.07,0.08,0.29,--,--,,,0.065,Ounce-weight,1.84,,0.76,--,,0.29,--,--,,--,--,--,0.08,--,--,--,0,--,1.22,39.62,1.98,3.96,0,23.77,0,--,--,--,--,0,--,--,0,0,--,--,--,--,--,11.06,--,--,--,--,--,2.95,0.17,--,0.61,7.19,--,0.07,0.03,--,--,0,0,--
    olive oil,40.58,0,4.59,0,0,0,,,0.17,Fluid ounce,4.59,,40.58,5.7,,0,0,0,,0,0,0,4.59,0.63,3.35,0.48,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0.66,0,0,2.76,0,0.05,--,0,--,--,0.03,0,0,--,0,0.05,0,0.09,0,0.03,0.45,0,0,0.01
    white beans,15.72,0.99,0.06,2.91,1.16,--,,,0.165,Ounce-weight,4.68,,0.5,0.13,,2.91,1.16,0.34,,--,--,--,0.06,0.01,0,0.02,0,0,0.55,0,0,0,0,--,0.03,0.01,0.06,0.26,0.02,0,--,0,0,0,--,18.06,18.06,--,0.03,8.09,--,0.03,--,--,0.36,8.56,0.06,--,20.82,72.13,0.6,0.56,0.13,0.01,0.01,0,0,--
    nutritional yeast,2.19,0.29,0.02,0.2,0.12,0,,,0.02,Ounce-weight,0.57,,0.22,0.04,,0.2,0.12,--,,0,0,0.09,0.02,0,0.02,0,0,0,--,0,0,0,0,0,0.45,0.37,1.74,1.74,0.22,0.66,0.52,0,--,--,--,--,--,--,0.01,0.23,--,--,--,--,0.03,0.84,0,--,4.89,9.98,--,0.99,0.07,--,--,0,0,--
    lemon juice,0.07,0,0,0.02,0,0.01,,,0.01,Fluid ounce,0.3,,0.01,0,,0.02,0,0,,0.01,0,0.01,0,0,0,0,0,0,0.28,0.02,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0.06,0.06,0,0,0.02,--,0,--,--,0,0.02,0,--,0.02,0.31,0,0,0,0,0,0,0,0.02
    Organic vegetable stock,1.2,0.06,0,0.24,0.06,0.18,,,0.015,Quart,14.2,,0,0,,0.24,0.06,--,,--,--,0,0,0,0,0,0,0,--,0,0,0,0,0,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,--,--,--,0,--,0,0,0,0,--
    cashews,17.82,0.56,1.34,0.89,0.11,0.22,,,0.11,Ounce-weight,3.12,,12.03,2,,0.89,0.11,--,,--,--,0.56,1.34,0.22,0.78,0.22,0,0,--,0,0,0,0,0,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,2.23,--,--,--,--,0.2,--,--,--,--,--,--,0.56,--,--,--,0,0,--
    water,0,0,0,0,0,0,,,0.01,Cup,2.37,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,2.37,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0.07,--,0,0,--,0,0.02,0,--,0,0,0,0.09,0,0,0,0,0,0
    sea salt,,,,,,,,,0.065,ounce-weight,1.8427175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714.155,,,,,,
Total,454.1,15.16,6.72,79.56,10.67,7.54,,,1,Serving,503.27,,59.72,8.25,,79.56,10.67,0.34,,3.67,0.67,59.31,6.72,0.92,4.16,0.79,0,0,170.62,12290.59,614.53,1229.06,0,4894.28,0.62,0.42,3.27,3.83,0.49,0.66,2.01,27.47,0,0,2.33,57.61,57.61,4.2,0.57,160.92,--,0.13,0.06,0.85,2.88,58.76,0.55,7.89,81.99,578.26,1.42,769,0.52,0.08,0.48,3.15,0,2.62
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spicy Pumpkin Seeds,85.46,4.25,6.66,1.89,1.42,0.47,,Dinner side,1,Serving,14.22,,59.94,14.94,,1.89,1.42,0,,0,0,0,6.66,1.66,0.03,0.01,0,0,0,48.19,2.41,4.82,0,0.49,0,0,0,0,0,0,--,0,0,0,0,0,0,0,--,0,--,0,--,--,1.28,0,0,--,0.01,0.05,0,2.36,0,0,0,0,0,0
    pumpkin seeds,85.05,4.25,6.61,1.89,1.42,0.47,,,0.5,Ounce-weight,14.17,,59.53,14.88,,1.89,1.42,--,,--,--,0,6.61,1.65,--,--,0,0,--,47.25,2.36,4.72,0,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,--,--,1.28,--,--,--,--,--,--,2.36,--,--,--,0,0,--
    olive oil,0.4,0,0.05,0,0,0,,,0.01,Teaspoon,0.05,,0.4,0.06,,0,0,0,,0,0,0,0.05,0.01,0.03,0.01,--,0,0,0,0,0,0,0,--,--,--,0,--,--,--,0,0,0,--,--,0,--,--,0,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,0,0,--
    cayenne chili pepper,0.01,0,0,0,0,0,,,0.00125,Teaspoon,0,,0,0,,0,0,--,,--,--,0,0,0,0,0,0,0,0,0.94,0.05,0.09,0,0.49,0,0,0,0,0,0,--,0,0,0,0,0,0,0,--,0,--,0,--,--,0,0,0,--,0.01,0.05,0,0,0,0,0,0,0,0
Total,85.46,4.25,6.66,1.89,1.42,0.47,,,1,Serving,14.22,,59.94,14.94,,1.89,1.42,0,,0,0,0,6.66,1.66,0.03,0.01,0,0,0,48.19,2.41,4.82,0,0.49,0,0,0,0,0,0,--,0,0,0,0,0,0,0,--,0,--,0,--,--,1.28,0,0,--,0.01,0.05,0,2.36,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eggplant Sugo,278.38,6.29,17.07,27.51,10,13.69,,Dinner,1,Serving,370.68,,152.92,30.09,,27.51,10,0.5,,8.87,1.88,3.83,17.07,3.34,3.33,0.8,0,0,313.51,7979.83,398.99,797.98,0,3884.76,0.18,0.17,3.15,3.74,0.41,0,3.42,22.14,0,0,3.61,55.03,55.03,19.85,0.94,79.01,0.17,0.4,0.02,0.55,3.77,54.43,0.6,8.12,100.77,928.5,1.56,765.7,0.76,0.06,0.74,0,0,33.66
yellow onion,11.03,0.3,0.03,2.58,0.47,1.17,,,0.972727,Ounce-weight,27.58,,0.25,0.1,,2.58,0.47,0,,0.9,0.27,0.94,0.03,0.01,0,0,0,0,24.57,0.55,0.03,0.06,0,0.28,0.01,0.01,0.03,0.1,0.03,0,0.97,2.04,0,0,0.01,5.24,5.24,0.11,0.03,6.34,0,0.01,0,0.55,0.06,2.76,0.04,1.38,8,40.26,0.14,1.1,0.05,0,0,0,0,1.68
garlic,3.87,0,0.13,0,0,0,,,0.045455,Ounce-weight,1.29,,1.16,0,,0,0,0,,0,0,0,0.13,0,0,0,0,0,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
olive oil,39.06,0,4.42,0,0,0,,,0.163636,Fluid ounce,4.42,,39.06,5.49,,0,0,0,,0,0,0,4.42,0.61,3.22,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0,0,2.66,0,0.04,0,0,0,0,0.02,0,0,0,0,0.04,0,0.09,0,0.03,0.43,0,0,0.01
carrots,17.59,0.4,0.1,4.11,1.2,2.03,,,1.51364,Ounce-weight,42.91,,0.93,0.14,,4.11,1.2,0.5,,0.49,1.54,0.88,0.1,0.02,0.01,0.05,0,0,37.89,7168.69,358.43,716.87,0,3555.17,0.03,0.02,0.42,0.47,0.06,0,0.13,2.53,0,0,0.28,8.15,8.15,5.66,0.12,14.16,0.17,0.02,0,0,0.13,5.15,0.06,2.15,15.02,137.31,0.04,29.61,0.1,0,0.05,0,0,3.78
tomatoes,39.17,2.01,0.34,8.92,2.33,5.39,,,4.31818,Ounce-weight,122.42,,3.08,0.44,,8.92,2.33,0,,5.35,0.02,1.21,0.34,0.05,0.05,0.14,0,0,109.49,263.2,13.16,26.32,0,157.92,0.09,0.06,1.5,1.74,0.18,0,0,11.26,0,0,1.53,15.91,15.91,6.49,0.34,41.62,0,0.22,0,0,1.59,24.48,0.22,0,39.17,358.69,0.73,227.7,0.33,0.01,0.13,0,0,15.79
tomato sauce,14.69,0.73,0.18,3.25,0.92,2.18,,,2.15909,Ounce-weight,61.21,,1.65,0.23,,3.25,0.92,0,,2.14,0.04,0.15,0.18,0.03,0.03,0.07,0,0,55.87,266.26,13.31,26.63,0,158.53,0.01,0.04,0.61,0.7,0.06,0,2.33,4.28,0,0,0.88,5.51,5.51,1.71,0.19,8.57,0,0.07,0.02,0,0.59,9.18,0.07,0,16.53,181.79,0.37,290.13,0.13,0,0.07,0,0,6.06
eggplant,22.97,0.9,0.17,5.4,2.48,2.92,,,3.24091,Ounce-weight,91.88,,1.49,0.28,,5.4,2.48,0,,0,0,0,0.17,0.03,0.01,0.07,0,0,84.8,21.13,1.06,2.11,0,12.86,0.04,0.03,0.6,0.73,0.08,0,0,2.02,0,0,0.28,20.21,20.21,3.22,0.26,8.27,0,0.07,0,0,0.21,12.86,0.21,4.59,22.05,210.4,0.28,1.84,0.15,0.01,0.06,0,0,6.34
pine nuts,130,1.95,11.7,3.25,2.6,0,,,0.65,Ounce-weight,18.43,,105.3,23.4,,3.25,2.6,0,,0,0,0.65,11.7,2.6,0,0,0,0,0,260,13,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17,0,0,0,0,0,0,6.5,0,0,0,0,0,0
sea salt,,,,,,,,,0.019,ounce-weight,0.5386405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.753,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Lentil Rotini,301.96,21.26,0.71,53.59,9.14,1.49,,Dinner side,1,Serving,85.05,,6.35,0,,53.59,9.14,0,,0,0,0,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53,0,0,0,0,0,0,0,22.12,0,0,0,0,3.06,0,0,0,0,0.05,0,0,0,0,0,0,0,0
Red Lentil Rotini,301.96,21.26,0.71,53.59,9.14,1.49,,,3,Ounce-weight,85.05,,6.35,0,,53.59,9.14,0,,0,0,0,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53,0,0,0,0,0,0,0,22.12,0,0,0,0,3.06,0,0,0,0,0.05,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eggplant Sugo and Red Lentil Rotini,580.34,27.55,17.78,81.1,19.14,15.18,0,,,,455.73,0,159.27,30.09,0,81.1,19.14,0.5,0,8.87,1.88,3.83,17.78,3.34,3.33,0.8,0,0,313.51,7979.83,398.99,797.98,0,3884.76,0.18,0.17,3.15,3.74,0.41,0,3.42,23.67,0,0,3.61,55.03,55.03,19.85,0.94,101.13,0.17,0.4,0.02,0.55,6.83,54.43,0.6,8.12,100.77,928.55,1.56,765.7,0.76,0.06,0.74,0,0,33.66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wild Mushroom Risotto,511.43,13.58,11.85,81.94,8.49,7.54,,Dinner,1,Serving,550.64,,105.59,16.8,,81.94,8.49,0.41,,2.42,0.51,5.1,11.85,1.87,5.95,1.09,0,0,135.45,255.09,12.76,25.52,0,109.72,0.67,0.77,12.33,13.24,0.48,0.83,2.19,7.83,201.05,5.03,1.05,52.8,52.8,46.26,1.18,65.64,0,0.35,0,0.89,3.28,28.93,0.32,2.24,138.65,501.47,13.86,758.63,1.24,0.07,0.72,3.03,0,21.7
Euphebe Organic Vegetable Stock,21.29,1.06,0,4.26,1.06,3.2,,,8.89286,Fluid ounce,251.92,,0,0,,4.26,1.06,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
white cooking wine,21.19,0,0,0,0,0,,,0.13244,Cup,31.79,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201.31,0,0,0,3.03,0,0
olive oil,59.67,0,6.75,0,0,0,,,0.25,Fluid ounce,6.75,,59.67,8.39,,0,0,0,,0,0,0,6.75,0.93,4.92,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0,0,4.06,0,0.07,0,0,0,0,0.04,0,0,0,0,0.07,0,0.13,0,0.05,0.66,0,0,0.02
yellow onion,17.89,0.49,0.04,4.18,0.76,1.9,,,1.57738,Ounce-weight,44.72,,0.4,0.17,,4.18,0.76,0,,1.45,0.44,1.52,0.04,0.02,0.01,0.01,0,0,39.85,0.89,0.04,0.09,0,0.45,0.02,0.01,0.05,0.16,0.05,0,1.57,3.31,0,0,0.01,8.5,8.5,0.18,0.06,10.29,0,0.02,0,0.89,0.09,4.47,0.06,2.24,12.97,65.29,0.22,1.79,0.08,0,0.01,0,0,2.73
garlic,15.69,0,0.52,0,0,0,,,0.184524,Ounce-weight,5.23,,4.71,0,,0,0,0,,0,0,0,0.52,0,0,0,0,0,3.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
celery,0.94,0,0,0.25,0.13,0.13,,,0.244048,Ounce-weight,6.92,,0,0,,0.25,0.13,0,,0,0,0,0,0,0,0,0,0,6.61,31.45,1.57,3.14,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,2.52,0,0,0,0,0.02,0,0,0,0,16.35,0,7.23,0,0,0,0,0,0
brown rice,295.37,6.91,2.48,61.46,2.73,0,,,2.81548,Ounce-weight,79.82,,22.32,5.27,,61.46,2.73,0,,0,0,0,2.48,0.59,0,0,0,0,0,40.31,2.02,4.04,0,0,0,0,6.32,6.32,0,0,0,0.08,0,0,0,0,0,0,0,15.63,0,0,0,0,0.61,0,0,0,0,0,0,11.95,0,0,0,0,0,0
maitake mushrooms,5.39,0.34,0.03,1.21,0.47,0.36,,,0.613095,Ounce-weight,17.38,,0.3,0.05,,1.21,0.47,0,,0.3,0.06,0.38,0.03,0.01,0.01,0.02,0,0,15.71,0,0,0,0,0,0.03,0.04,1.14,1.25,0.01,0,0,0,195.19,4.88,0,3.65,3.65,0,0.05,0.17,0,0.04,0,0,0.05,1.74,0.01,0,12.86,35.46,0.38,0.17,0.13,0,0.02,0,0,8.88
porcini mushrooms,8.96,0.78,0.1,1.24,0.41,0.06,,,0.089286,Ounce-weight,2.53,,0.87,0.1,,1.24,0.41,0,,0,0,0.78,0.1,0.01,0.05,0.04,0,0,0,0.25,0.01,0.03,0,0.15,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.68,0,0,0,0,0.53,0,0,0,0,0,0,0.97,0,0,0,0,0,0
shiitake mushrooms,8.66,0.57,0.12,1.73,0.64,0.61,,,0.89881,Ounce-weight,25.48,,1.12,0,,1.73,0.64,0,,0.61,0,0.49,0.12,0,0,0,0,0,22.87,0,0,0,0,0,0,0.06,0.99,1.03,0.07,0,0,0,4.59,0.1,0,3.31,3.31,0,0.38,0.51,0,0.04,0,0,0.1,5.1,0.06,0,28.54,77.46,1.45,2.29,0.26,0,0,0,0,0
crimini mushrooms,9.36,1.06,0.04,1.83,0.26,0.73,,,1.5,Ounce-weight,42.52,,0.38,0.05,,1.83,0.26,0,,0,0,0.84,0.04,0.01,0,0.02,0,0,39.17,0,0,0,0,0,0.04,0.21,1.62,2.01,0.05,0.04,0,0,1.28,0.04,0,10.63,10.63,0,0.64,7.65,0,0.21,0,0,0.17,3.83,0.06,0,51.03,190.51,11.06,2.55,0.47,0,0.02,0,0,9.4
thyme,1.86,0.06,0.05,0.43,0.25,0.01,,,0.02381,Ounce-weight,0.67,,0.45,0.17,,0.43,0.25,0,,0,0,0.17,0.05,0.02,0,0.01,0,0,0.05,25.65,1.28,2.56,0,15.28,0,0,0.03,0.05,0,0,0,0.34,0,0,0.05,1.85,1.85,11.57,0,12.76,0,0.01,0,0,0.83,1.48,0.05,0,1.36,5.49,0.03,0.37,0.04,0,0,0,0,0.29
parsley,0.67,0.06,0.01,0.12,0.06,0.02,,,0.065476,Ounce-weight,1.86,,0.13,0.02,,0.12,0.06,0,,0,0,0.04,0.01,0,0.01,0,0,0,1.63,156.37,7.82,15.64,0,93.81,0,0,0.02,0.04,0,0,0,2.47,0,0,0.01,2.82,2.82,30.44,0.01,2.56,0,0,0,0,0.12,0.93,0,0,1.08,10.28,0,1.04,0.02,0,0,0,0,0.24
