Item Name,Quantity,Measure,Wgt (g),Cals (kcal),FatCals (kcal),SatCals (kcal),Prot (g),Carb (g),TotFib (g),TotSolFib (g),Sugar (g),MonSac (g),Disacc (g),OCarb (g),Fat (g),SatFat (g),MonoFat (g),PolyFat (g),TransFat (g),Chol (mg),Water (g),Vit A-IU (IU),Vit A-RAE (mcg),Caroten (mcg),Retinol (mcg),BetaCaro (mcg),Vit B1 (mg),Vit B2 (mg),Vit B3 (mg),Vit B3-NE (mg),Vit B6 (mg),Vit B12 (mcg),Biot (mcg),Vit C (mg),Vit D-IU (IU),Vit D-mcg (mcg),Vit E-a-Toco (mg),Folate (mcg),Fol_DFE (mcg DFE),Vit K (mcg),Panto (mg),Calc (mg),Chrom (mcg),Copp (mg),Fluor (mg),Iodine (mcg),Iron (mg),Magn (mg),Mang (mg),Moly (mcg),Phos (mg),Pot (mg),Sel (mcg),Sod (mg),Zinc (mg),Omega3 (g),Omega6 (g),Alc (g),Caff (mg),Chln (mg)
    pinto beans,0.03,Pound,13.61,47.22,1.51,0.29,2.91,8.51,2.11,0,0.29,0.02,0.27,6.12,0.17,0.03,0.03,0.06,0,0,1.54,0,0,0,0,0,0.1,0.03,0.16,0.7,0.06,0,0,0.86,0,0,0.03,71.44,71.44,0.76,0.11,15.38,0,0.12,0,0,0.69,23.95,0.16,0,55.93,189.56,3.8,1.63,0.31,0.03,0.02,0,0,9.01
    Gluten free tamari,0.32,Fluid ounce,11.52,6.91,0.1,0.01,1.21,0.64,0.09,0,0.2,0,0,0.35,0.01,0,0,0.01,0,0,7.6,0,0,0,0,0,0.01,0.02,0.46,0.8,0.02,0,0,0,0,0,0,2.07,2.07,0,0.04,2.3,0,0.02,0,0,0.27,4.61,0.06,0,14.98,24.42,0.09,582.4,0.05,0,0,0,0,4.42
    red onion,0.06,Pound,27.22,10.89,0,0,0.34,2.55,0.51,0,1.19,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04,0,0,0,0,0,0,0,6.8,0,0,0,0,0.06,0,0,0,0,0,0,1.02,0,0,0,0,0,0
    red bell pepper,0.04,Pound,18.14,5.62,0.49,0.04,0.18,1.09,0.36,0,0.73,0.73,0,0,0.05,0,0,0.01,0,0,16.73,568.08,28.4,56.81,0,294.65,0.01,0.02,0.18,0.21,0.05,0,0,23.17,0,0,0.29,8.35,8.35,0.89,0.06,1.27,0,0,0,0.18,0.08,2.18,0.02,0.91,4.72,38.28,0.02,0.73,0.05,0,0.01,0,0,1.02
    poblano peppers,0.03,Pound,13.61,3.78,0.68,0,0.15,0.76,0.3,0,0.45,0,0,0,0.08,0,0,0,0,0,0,113.4,5.67,11.34,0,0,0,0,0,0,0,0,0,6.35,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0
    yellow corn,0.04,Pound,18.14,17.42,2.45,0.32,0.62,3.81,0.44,0.02,0.82,0.3,0.53,2.55,0.27,0.04,0.07,0.11,0,0,13.32,47.72,2.39,4.77,0,11.97,0.02,0.01,0.31,0.37,0.03,0,0,1,0,0,0.02,4.17,4.17,0.07,0.14,0.54,0,0.01,0,0,0.08,4.72,0.03,0,13.97,39.55,0.04,0.18,0.11,0,0.11,0,0,5.28
    swiss chard,0.03,Pound,13.61,2.59,0.24,0.04,0.24,0.51,0.22,0,0.15,0,0,0.14,0.03,0,0.01,0.01,0,0,12.61,832.25,41.61,83.23,0,496.28,0.01,0.01,0.05,0.09,0.01,0,0.82,4.08,0,0,0.26,1.91,1.91,112.94,0.02,6.94,0,0.02,0,0,0.24,11.02,0.05,0.68,6.26,51.57,0.12,28.98,0.05,0,0.01,0,0,2.45
    water,0.384,Fluid ounce,11.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0,0,0.01,0,0,0.11,0,0,0,0,0,0.45,0,0,0,0,0,0
    olive oil,0.32,Fluid ounce,8.64,76.38,76.38,10.74,0,0,0,0,0,0,0,0,8.64,1.19,6.3,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24,0,0,5.2,0,0.09,0,0,0,0,0.05,0,0,0,0,0.09,0,0.17,0,0.07,0.84,0,0,0.03
    chili pepper powder,0.032,Ounce-weight,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.29,0,0,0,0,0,0
    cumin,0.032,Ounce-weight,0.91,4.04,1.89,0,0.17,0.36,0.33,0,0,0,0,0,0.21,0,0,0,0,0,0.09,4.08,0.2,0.41,0,2.45,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,7.53,0,0,0,0,0.31,0,0,0,0,0,0,1.8,0,0,0,0,0,0
    paprika,0.032,Ounce-weight,0.91,2.56,1.05,0.17,0.13,0.49,0.32,0,0.09,0.09,0.01,0.08,0.12,0.02,0.02,0.07,0,0,0.1,446.82,22.34,44.68,0,237.34,0,0.01,0.09,0.1,0.02,0,0,0.01,0,0,0.26,0.44,0.44,0.73,0.02,2.08,0,0.01,0,0,0.19,1.61,0.01,0,2.85,20.68,0.06,0.62,0.04,0,0.07,0,0,0.47
    garlic powder,0.032,Ounce-weight,0.91,3,0.06,0.02,0.15,0.66,0.08,0,0.02,0,0.02,0.56,0.01,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0.01,0.03,0.02,0,0,0.01,0,0,0.01,0.43,0.43,0,0.01,0.72,0,0,0,0,0.05,0.7,0.01,0,3.76,10.82,0.22,0.54,0.03,0,0,0,0,0.61
    oregano,0.032,Ounce-weight,0.91,2.4,0.35,0.13,0.08,0.63,0.39,0,0.04,0.03,0.01,0.2,0.04,0.01,0.01,0.01,0,0,0.09,15.43,0.77,1.54,0,9.14,0,0,0.04,0.07,0.01,0,0,0.02,0,0,0.17,2.15,2.15,5.64,0.01,14.49,0,0.01,0,0,0.33,2.45,0.05,0,1.34,11.43,0.04,0.23,0.02,0.01,0.01,0,0,0.29
    cayenne chili pepper,0.032,Ounce-weight,0.91,2.88,1.41,0.27,0.11,0.51,0.25,0,0.09,0,0,0.17,0.16,0.03,0.02,0.08,0,0,0.07,377.48,18.87,37.75,0,198.13,0,0.01,0.08,0.08,0.02,0,0,0.69,0,0,0.27,0.96,0.96,0.73,0,1.34,0,0,0,0,0.07,1.38,0.02,0,2.66,18.27,0.08,0.27,0.02,0.01,0.07,0,0,0.47
    black pepper,0.032,Ounce-weight,0.91,2.28,0.27,0.11,0.09,0.58,0.23,0,0.01,0.01,0,0.34,0.03,0.01,0.01,0.01,0,0,0.11,4.96,0.25,0.5,0,2.81,0,0,0.01,0.02,0,0,0,0,0,0,0.01,0.15,0.15,1.49,0.01,4.02,0.15,0.01,0,0,0.09,1.55,0.12,0,1.43,12.06,0.04,0.18,0.01,0,0.01,0,0,0.1
    sea salt,0.006,ounce-weight,0.170097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.922,,,,,,
Total,1,Serving,224.05,344.73,166.24,30.8,22.96,27.34,5.62,0.02,4.08,1.17,0.83,11.36,18.63,3.42,9.08,4.78,0,0,112.39,2410.23,120.51,241.02,0,1252.77,0.21,0.4,3.54,7.27,0.42,0.07,0.82,38.25,0,0,2.54,111.67,111.67,128.46,0.65,154.47,0.15,0.66,0.01,0.18,4.84,120.41,1.58,1.59,325.07,753.12,4.5,728.8,1.62,0.33,4.45,0,0,24.15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cilantro Lime Rice,1,Serving,47.42,167.83,13.16,2.43,3.45,34.91,1.66,0.16,0.33,0.02,0.31,32.93,1.46,0.27,0.48,0.46,0,0,7.03,23.98,1.2,2.4,0,13.98,0.25,0.04,2.97,3.7,0.22,0,0.47,0.53,0,0,0.29,10.85,10.85,1.35,0.49,4.54,0.18,0.14,0,0,0.6,53.11,1.3,0,142.21,117.53,7.8,2.47,0.97,0.01,0.44,0,0,9.92
    brown rice,0.246528,Cup,45.61,167.38,13.13,2.43,3.44,34.78,1.64,0.16,0.3,0,0.3,32.83,1.46,0.27,0.48,0.46,0,0,5.38,0,0,0,0,0,0.25,0.04,2.96,3.69,0.22,0,0.47,0,0,0,0.27,10.49,10.49,0.27,0.49,4.1,0.18,0.14,0,0,0.59,52.9,1.3,0,141.84,114.02,7.8,2.28,0.97,0.01,0.44,0,0,9.81
    cilantro,0.012153,Ounce-weight,0.34,0.08,0.02,0,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0.32,23.25,1.16,2.32,0,13.54,0,0,0,0,0,0,0,0.09,0,0,0.01,0.21,0.21,1.07,0,0.23,0,0,0,0,0.01,0.09,0,0,0.17,1.79,0,0.16,0,0,0,0,0,0.04
